"","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS"
"1","Lake of the Woods","Minnesota",27,77,27077
"2","Ferry","Washington",53,19,53019
"3","Stevens","Washington",53,65,53065
"4","Okanogan","Washington",53,47,53047
"5","Pend Oreille","Washington",53,51,53051
"6","Boundary","Idaho",16,21,16021
"7","Lincoln","Montana",30,53,30053
"8","Flathead","Montana",30,29,30029
"9","Glacier","Montana",30,35,30035
"10","Toole","Montana",30,101,30101
"11","Liberty","Montana",30,51,30051
"12","Hill","Montana",30,41,30041
"13","Sheridan","Montana",30,91,30091
"14","Divide","North Dakota",38,23,38023
"15","Burke","North Dakota",38,13,38013
"16","Renville","North Dakota",38,75,38075
"17","Bottineau","North Dakota",38,9,38009
"18","Rolette","North Dakota",38,79,38079
"19","Towner","North Dakota",38,95,38095
"20","Cavalier","North Dakota",38,19,38019
"21","Pembina","North Dakota",38,67,38067
"22","Kittson","Minnesota",27,69,27069
"23","Roseau","Minnesota",27,135,27135
"24","Blaine","Montana",30,5,30005
"25","Phillips","Montana",30,71,30071
"26","Valley","Montana",30,105,30105
"27","Daniels","Montana",30,19,30019
"28","Whatcom","Washington",53,73,53073
"29","Bonner","Idaho",16,17,16017
"30","Ward","North Dakota",38,101,38101
"31","Koochiching","Minnesota",27,71,27071
"32","Skagit","Washington",53,57,53057
"33","Williams","North Dakota",38,105,38105
"34","McHenry","North Dakota",38,49,38049
"35","St. Louis","Minnesota",27,137,27137
"36","San Juan","Washington",53,55,53055
"37","Roosevelt","Montana",30,85,30085
"38","Mountrail","North Dakota",38,61,38061
"39","Marshall","Minnesota",27,89,27089
"40","Ramsey","North Dakota",38,71,38071
"41","Walsh","North Dakota",38,99,38099
"42","Beltrami","Minnesota",27,7,27007
"43","Pierce","North Dakota",38,69,38069
"44","Chelan","Washington",53,7,53007
"45","Pondera","Montana",30,73,30073
"46","Clallam","Washington",53,9,53009
"47","Benson","North Dakota",38,5,38005
"48","Chouteau","Montana",30,15,30015
"49","Snohomish","Washington",53,61,53061
"50","Island","Washington",53,29,53029
"51","Sanders","Montana",30,89,30089
"52","Lake","Minnesota",27,75,27075
"53","Nelson","North Dakota",38,63,38063
"54","Grand Forks","North Dakota",38,35,38035
"55","Polk","Minnesota",27,119,27119
"56","Pennington","Minnesota",27,113,27113
"57","Douglas","Washington",53,17,53017
"58","McKenzie","North Dakota",38,53,38053
"59","Jefferson","Washington",53,31,53031
"60","Richland","Montana",30,83,30083
"61","Teton","Montana",30,99,30099
"62","McCone","Montana",30,55,30055
"63","Shoshone","Idaho",16,79,16079
"64","Spokane","Washington",53,63,53063
"65","Lake","Montana",30,47,30047
"66","Clearwater","Minnesota",27,29,27029
"67","Kootenai","Idaho",16,55,16055
"68","Garfield","Montana",30,33,30033
"69","Red Lake","Minnesota",27,125,27125
"70","Grant","Washington",53,25,53025
"71","Lincoln","Washington",53,43,53043
"72","Lewis and Clark","Montana",30,49,30049
"73","Kitsap","Washington",53,35,53035
"74","Itasca","Minnesota",27,61,27061
"75","Sheridan","North Dakota",38,83,38083
"76","Wells","North Dakota",38,103,38103
"77","McLean","North Dakota",38,55,38055
"78","Eddy","North Dakota",38,27,38027
"79","Dunn","North Dakota",38,25,38025
"80","Fergus","Montana",30,27,30027
"81","Dawson","Montana",30,21,30021
"82","King","Washington",53,33,53033
"83","Cascade","Montana",30,13,30013
"84","Griggs","North Dakota",38,39,38039
"85","Steele","North Dakota",38,91,38091
"86","Traill","North Dakota",38,97,38097
"87","Mason","Washington",53,45,53045
"88","Missoula","Montana",30,63,30063
"89","Petroleum","Montana",30,69,30069
"90","Powell","Montana",30,77,30077
"91","Kittitas","Washington",53,37,53037
"92","Foster","North Dakota",38,31,38031
"93","Mercer","North Dakota",38,57,38057
"94","Grays Harbor","Washington",53,27,53027
"95","Norman","Minnesota",27,107,27107
"96","Mahnomen","Minnesota",27,87,27087
"97","Mineral","Montana",30,61,30061
"98","Cass","Minnesota",27,21,27021
"99","Aroostook","Maine",23,3,23003
"100","Judith Basin","Montana",30,45,30045
"101","Hubbard","Minnesota",27,57,27057
"102","Benewah","Idaho",16,9,16009
"103","Wibaux","Montana",30,109,30109
"104","Golden Valley","North Dakota",38,33,38033
"105","Billings","North Dakota",38,7,38007
"106","Stutsman","North Dakota",38,93,38093
"107","Kidder","North Dakota",38,43,38043
"108","Burleigh","North Dakota",38,15,38015
"109","Pierce","Washington",53,53,53053
"110","Oliver","North Dakota",38,65,38065
"111","Adams","Washington",53,1,53001
"112","Whitman","Washington",53,75,53075
"113","Barnes","North Dakota",38,3,38003
"114","Cass","North Dakota",38,17,38017
"115","Prairie","Montana",30,79,30079
"116","Becker","Minnesota",27,5,27005
"117","Clay","Minnesota",27,27,27027
"118","Thurston","Washington",53,67,53067
"119","Latah","Idaho",16,57,16057
"120","Meagher","Montana",30,59,30059
"121","Yakima","Washington",53,77,53077
"122","Aitkin","Minnesota",27,1,27001
"123","Stark","North Dakota",38,89,38089
"124","Morton","North Dakota",38,59,38059
"125","Bayfield","Wisconsin",55,7,55007
"126","Clearwater","Idaho",16,35,16035
"127","Custer","Montana",30,17,30017
"128","Rosebud","Montana",30,87,30087
"129","Granite","Montana",30,39,30039
"130","Wadena","Minnesota",27,159,27159
"131","Crow Wing","Minnesota",27,35,27035
"132","Pacific","Washington",53,49,53049
"133","Lewis","Washington",53,41,53041
"134","Broadwater","Montana",30,7,30007
"135","Carlton","Minnesota",27,17,27017
"136","Golden Valley","Montana",30,37,30037
"137","Douglas","Wisconsin",55,31,55031
"138","Musselshell","Montana",30,65,30065
"139","Wheatland","Montana",30,107,30107
"140","Franklin","Washington",53,21,53021
"141","Benton","Washington",53,5,53005
"142","Grant","North Dakota",38,37,38037
"143","Otter Tail","Minnesota",27,111,27111
"144","Garfield","Washington",53,23,53023
"145","Fallon","Montana",30,25,30025
"146","Idaho","Idaho",16,49,16049
"147","Ravalli","Montana",30,81,30081
"148","Ashland","Wisconsin",55,3,55003
"149","Logan","North Dakota",38,47,38047
"150","Emmons","North Dakota",38,29,38029
"151","LaMoure","North Dakota",38,45,38045
"152","Slope","North Dakota",38,87,38087
"153","Hettinger","North Dakota",38,41,38041
"154","Ransom","North Dakota",38,73,38073
"155","Richland","North Dakota",38,77,38077
"156","Wilkin","Minnesota",27,167,27167
"157","Nez Perce","Idaho",16,69,16069
"158","Columbia","Washington",53,13,53013
"159","Walla Walla","Washington",53,71,53071
"160","Iron","Wisconsin",55,51,55051
"161","Somerset","Maine",23,25,23025
"162","Piscataquis","Maine",23,21,23021
"163","Jefferson","Montana",30,43,30043
"164","Yellowstone","Montana",30,111,30111
"165","Treasure","Montana",30,103,30103
"166","Lewis","Idaho",16,61,16061
"167","Asotin","Washington",53,3,53003
"168","Sioux","North Dakota",38,85,38085
"169","Pine","Minnesota",27,115,27115
"170","Penobscot","Maine",23,19,23019
"171","Skamania","Washington",53,59,53059
"172","Cowlitz","Washington",53,15,53015
"173","Wahkiakum","Washington",53,69,53069
"174","Todd","Minnesota",27,153,27153
"175","Morrison","Minnesota",27,97,27097
"176","McIntosh","North Dakota",38,51,38051
"177","Dickey","North Dakota",38,21,38021
"178","Sargent","North Dakota",38,81,38081
"179","Bowman","North Dakota",38,11,38011
"180","Adams","North Dakota",38,1,38001
"181","Deer Lodge","Montana",30,23,30023
"182","Mille Lacs","Minnesota",27,95,27095
"183","Clatsop","Oregon",41,7,41007
"184","Sweet Grass","Montana",30,97,30097
"185","Gallatin","Montana",30,31,30031
"186","Park","Montana",30,67,30067
"187","Columbia","Oregon",41,9,41009
"188","Silver Bow","Montana",30,93,30093
"189","Washburn","Wisconsin",55,129,55129
"190","Sawyer","Wisconsin",55,113,55113
"191","Burnett","Wisconsin",55,13,55013
"192","Kanabec","Minnesota",27,65,27065
"193","Carter","Montana",30,11,30011
"194","Stillwater","Montana",30,95,30095
"195","Grant","Minnesota",27,51,27051
"196","Douglas","Minnesota",27,41,27041
"197","Clark","Washington",53,11,53011
"198","Klickitat","Washington",53,39,53039
"199","Big Horn","Montana",30,3,30003
"200","Traverse","Minnesota",27,155,27155
"201","Umatilla","Oregon",41,59,41059
"202","Wallowa","Oregon",41,63,41063
"203","Price","Wisconsin",55,99,55099
"204","Campbell","South Dakota",46,21,46021
"205","Harding","South Dakota",46,63,46063
"206","McPherson","South Dakota",46,89,46089
"207","Perkins","South Dakota",46,105,46105
"208","Corson","South Dakota",46,31,46031
"209","Brown","South Dakota",46,13,46013
"210","Beaverhead","Montana",30,1,30001
"211","Marshall","South Dakota",46,91,46091
"212","Roberts","South Dakota",46,109,46109
"213","Morrow","Oregon",41,49,41049
"214","Union","Oregon",41,61,41061
"215","Madison","Montana",30,57,30057
"216","Benton","Minnesota",27,9,27009
"217","Gilliam","Oregon",41,21,41021
"218","Powder River","Montana",30,75,30075
"219","Stearns","Minnesota",27,145,27145
"220","Tillamook","Oregon",41,57,41057
"221","Washington","Oregon",41,67,41067
"222","Pope","Minnesota",27,121,27121
"223","Stevens","Minnesota",27,149,27149
"224","Isanti","Minnesota",27,59,27059
"225","Chisago","Minnesota",27,25,27025
"226","Sherman","Oregon",41,55,41055
"227","Polk","Wisconsin",55,95,55095
"228","Multnomah","Oregon",41,51,41051
"229","Hood River","Oregon",41,27,41027
"230","Wasco","Oregon",41,65,41065
"231","Lemhi","Idaho",16,59,16059
"232","Washington","Maine",23,29,23029
"233","Franklin","Maine",23,7,23007
"234","Barron","Wisconsin",55,5,55005
"235","Rusk","Wisconsin",55,107,55107
"236","Carbon","Montana",30,9,30009
"237","Walworth","South Dakota",46,129,46129
"238","Edmunds","South Dakota",46,45,46045
"239","Day","South Dakota",46,37,46037
"240","Big Stone","Minnesota",27,11,27011
"241","Sherburne","Minnesota",27,141,27141
"242","Ziebach","South Dakota",46,137,46137
"243","Dewey","South Dakota",46,41,46041
"244","Clackamas","Oregon",41,5,41005
"245","Wright","Minnesota",27,171,27171
"246","Yamhill","Oregon",41,71,41071
"247","Anoka","Minnesota",27,3,27003
"248","Kandiyohi","Minnesota",27,67,27067
"249","Swift","Minnesota",27,151,27151
"250","Taylor","Wisconsin",55,119,55119
"251","Oxford","Maine",23,17,23017
"252","Grant","South Dakota",46,51,46051
"253","Meeker","Minnesota",27,93,27093
"254","Coos","New Hampshire",33,7,33007
"255","Washington","Minnesota",27,163,27163
"256","Chippewa","Wisconsin",55,17,55017
"257","Marion","Oregon",41,47,41047
"258","Lac qui Parle","Minnesota",27,73,27073
"259","Adams","Idaho",16,3,16003
"260","Potter","South Dakota",46,107,46107
"261","Faulk","South Dakota",46,49,46049
"262","Hennepin","Minnesota",27,53,27053
"263","Spink","South Dakota",46,115,46115
"264","St. Croix","Wisconsin",55,109,55109
"265","Dunn","Wisconsin",55,33,55033
"266","Butte","South Dakota",46,19,46019
"267","Valley","Idaho",16,85,16085
"268","Clark","South Dakota",46,25,46025
"269","Codington","South Dakota",46,29,46029
"270","Chippewa","Minnesota",27,23,27023
"271","Ramsey","Minnesota",27,123,27123
"272","Baker","Oregon",41,1,41001
"273","Polk","Oregon",41,53,41053
"274","Wheeler","Oregon",41,69,41069
"275","Meade","South Dakota",46,93,46093
"276","Lincoln","Oregon",41,41,41041
"277","Clark","Wisconsin",55,19,55019
"278","Essex","Vermont",50,9,50009
"279","Grand Isle","Vermont",50,13,50013
"280","Franklin","Vermont",50,11,50011
"281","Orleans","Vermont",50,19,50019
"282","Clinton","New York",36,19,36019
"283","Park","Wyoming",56,29,56029
"284","Crook","Wyoming",56,11,56011
"285","Big Horn","Wyoming",56,3,56003
"286","Campbell","Wyoming",56,5,56005
"287","Sheridan","Wyoming",56,33,56033
"288","Franklin","New York",36,33,36033
"289","Grant","Oregon",41,23,41023
"290","McLeod","Minnesota",27,85,27085
"291","Carver","Minnesota",27,19,27019
"292","Deuel","South Dakota",46,39,46039
"293","Dakota","Minnesota",27,37,27037
"294","Yellow Medicine","Minnesota",27,173,27173
"295","Sully","South Dakota",46,119,46119
"296","Hyde","South Dakota",46,69,46069
"297","Hand","South Dakota",46,59,46059
"298","Renville","Minnesota",27,129,27129
"299","Pierce","Wisconsin",55,93,55093
"300","Custer","Idaho",16,37,16037
"301","Eau Claire","Wisconsin",55,35,55035
"302","Washington","Idaho",16,87,16087
"303","Jefferson","Oregon",41,31,41031
"304","Scott","Minnesota",27,139,27139
"305","Hamlin","South Dakota",46,57,46057
"306","Lamoille","Vermont",50,15,50015
"307","Linn","Oregon",41,43,41043
"308","Stanley","South Dakota",46,117,46117
"309","Caledonia","Vermont",50,5,50005
"310","Waldo","Maine",23,27,23027
"311","Haakon","South Dakota",46,55,46055
"312","Fremont","Idaho",16,43,16043
"313","Sibley","Minnesota",27,143,27143
"314","Chittenden","Vermont",50,7,50007
"315","Kennebec","Maine",23,11,23011
"316","Goodhue","Minnesota",27,49,27049
"317","Benton","Oregon",41,3,41003
"318","Redwood","Minnesota",27,127,27127
"319","Wood","Wisconsin",55,141,55141
"320","Pepin","Wisconsin",55,91,55091
"321","Teton","Wyoming",56,39,56039
"322","Beadle","South Dakota",46,5,46005
"323","Lyon","Minnesota",27,83,27083
"324","Lincoln","Minnesota",27,81,27081
"325","Lawrence","South Dakota",46,81,46081
"326","Buffalo","Wisconsin",55,11,55011
"327","Trempealeau","Wisconsin",55,121,55121
"328","Jackson","Wisconsin",55,53,55053
"329","Clark","Idaho",16,33,16033
"330","Crook","Oregon",41,13,41013
"331","Johnson","Wyoming",56,19,56019
"332","Hughes","South Dakota",46,65,46065
"333","Essex","New York",36,31,36031
"334","Le Sueur","Minnesota",27,79,27079
"335","Rice","Minnesota",27,131,27131
"336","Kingsbury","South Dakota",46,77,46077
"337","Brookings","South Dakota",46,11,46011
"338","Pennington","South Dakota",46,103,46103
"339","Gem","Idaho",16,45,16045
"340","Brown","Minnesota",27,15,27015
"341","Washington","Vermont",50,23,50023
"342","Androscoggin","Maine",23,1,23001
"343","Nicollet","Minnesota",27,103,27103
"344","Wabasha","Minnesota",27,157,27157
"345","Malheur","Oregon",41,45,41045
"346","Hancock","Maine",23,9,23009
"347","Grafton","New Hampshire",33,9,33009
"348","Deschutes","Oregon",41,17,41017
"349","Knox","Maine",23,13,23013
"350","Boise","Idaho",16,15,16015
"351","Lincoln","Maine",23,15,23015
"352","Addison","Vermont",50,1,50001
"353","Carroll","New Hampshire",33,3,33003
"354","Lane","Oregon",41,39,41039
"355","Blue Earth","Minnesota",27,13,27013
